ARID,ESTAB_ARID,UPRN,ADDRESS_TYPE,ESTAB_TYPE,ADDRESS_LEVEL,ABP_CODE,ORGANISATION_NAME,ADDRESS_LINE1,ADDRESS_LINE2,ADDRESS_LINE3,TOWN_NAME,POSTCODE,LATITUDE,LONGITUDE,OA,LSOA,MSOA,LAD,REGION,HTC_WILLINGNESS,HTC_DIGITAL,TREATMENT_CODE,FIELDCOORDINATOR_ID,FIELDOFFICER_ID,CE_EXPECTED_CAPACITY
DDR190314000882990559,DDR190314000413936807,73584904693,HH,Household,U,RD04,,26 Arranged Angela Way,,,Spokesman Hamlet,BV3 3KO,164.190402,12.379189,E12098731,E63543326,E71673364,W64778297,W30128413,2,2,HH_1LSFN,,,
DDR190314000750329931,DDR190314000996876804,55326595437,HH,Household,U,RD04,,766 Announced Floppy Lane,,,Distances City,XQ4 6WD,171.399765,-130.847472,W31760656,W92814982,W11404146,E73845118,E25428433,3,4,HH_1LSFN,,,
DDR190314000317081512,DDR190314000169650054,32556389246,HH,Household,U,RD04,,685 Shemales Half Avenue,,,Schedules Village,IY4 9KR,52.83752,133.955970,E40903653,W54535011,N41761978,E46810719,E58797857,2,5,HH_1LSFN,,,
DDR190314000564527541,DDR190314000527497885,69140151389,HH,Household,U,RD02,,42 Sweet Deleted Passage,,,Birmingham Hamlet,ZE4 4YK,42.68415,134.786959,W59693610,E41959350,N65195179,E77401310,W96002283,5,3,HH_1LSFN,,,
DDR190314000859862331,DDR190314000387080321,92706437273,HH,Household,U,RD02,,148 Discussing Legend Way,,,Julie Village,OC5 8DX,-163.193725,28.90120,N16927024,N38124705,N78555897,E77274495,E86906487,4,1,HH_1LSFN,,,
DDR190314000649355998,DDR190314000833929196,36483507603,HH,Household,U,RD02,,110 Champions Stripes Way,,,Venues City,LB2 8UY,-142.782349,-47.723863,W67650652,N98865984,W52672190,W47418228,N44086807,3,3,HH_1LSFN,,,
DDR190314000666096706,DDR190314000950947637,71296910339,HH,Household,U,RD03,,978 Assistance Thickness Passage,,,Elephant Hamlet,RV6 4QE,-155.906320,157.137598,N16750284,E71978526,N44856396,N93946768,N43890643,2,5,HH_1LSFN,,,
DDR190314000605818339,DDR190314000578392325,10800261392,HH,Household,U,RD05,,158 Keith Enables Lane,,,Containers Hamlet,CS2 5RI,-43.858802,141.819637,W97476344,E65769807,E89043182,N74325557,N24767883,4,4,HH_1LSFN,,,
DDR190314000468103828,DDR190314000871318127,88407029663,HH,Household,U,RD05,,769 Delayed Linear Way,,,Cambridge Hamlet,NK9 2IF,16.117719,-85.3532,N89400910,E33689588,W36322110,E41653274,W20255631,2,1,HH_1LSFN,,,
DDR190314000842533391,DDR190314000195425142,24690902298,HH,Household,U,RD02,,335 Womens Visited Road,,,Butter City,GA5 3KR,96.636933,-8.442686,N56591333,N86741462,N77031526,W82416397,E41182420,5,5,HH_1LSFN,,,
DDR190314000169473838,DDR190314000702238881,76407592417,HH,Household,U,RD04,,445 Publication Workflow Street,,,Funds City,FA8 6XW,62.986966,161.577373,N53966683,W11093502,E48492079,E87670023,E20604731,5,3,HH_1LSFN,,,
DDR190314000677973417,DDR190314000315099970,92074685868,HH,Household,U,RD06,,805 Asus Return Street,,,Troops Town,ZM5 7YG,-156.727729,-117.975743,W69177273,E92485448,W28262460,E47763985,N10623267,4,2,HH_1LSFN,,,
DDR190314000373820037,DDR190314000858927907,67957464029,HH,Household,U,RD03,,364 Broken Greece Alley,,,Months City,KJ7 8IU,48.708646,42.272648,E45138516,W44054254,N17411647,W40497651,E12148427,5,3,HH_1LSFN,,,
DDR190314000771084714,DDR190314000440702414,64127155517,HH,Household,U,RD06,,76 Sail Achieved Way,,,Abuse Village,HV9 5MI,133.148897,-119.564501,E30399852,E61084919,E84514730,W16372663,N42154832,1,4,HH_1LSFN,,,
DDR190314000127271784,DDR190314000549116127,26674279543,HH,Household,U,RD03,,209 Amounts Meet Alley,,,April Hamlet,OU6 8DE,112.291489,-177.721092,N64571025,N92692086,W94446268,W86326773,N89956150,4,5,HH_1LSFN,,,
DDR190314000318905458,DDR190314000590765295,72075163043,HH,Household,U,RD05,,3 Personnel Optimize Avenue,,,Corner Village,WA2 6MT,139.554769,-64.404969,W86936007,N99852944,W99567104,W40602699,W26882326,3,1,HH_1LSFN,,,
DDR190314000501849502,DDR190314000553869729,67002364899,HH,Household,U,RD06,,397 Adapted Bradford Alley,,,Fiber Village,HX1 1LX,-131.327435,131.628761,E58432306,E75190621,N29064818,W17136339,E94283205,4,4,HH_1LSFN,,,
DDR190314000223176117,DDR190314000814924597,65181138224,HH,Household,U,RD02,,101 Estate Prefers Lane,,,Entitled City,FR2 2YP,-120.494966,-67.743570,W94026280,N16497211,E63931354,E37308500,N92110312,2,2,HH_1LSFN,,,
DDR190314000461209987,DDR190314000429862090,10630104180,HH,Household,U,RD05,,47 Protect Fake Street,,,Promotes Village,TX6 3FK,-38.386739,-151.90980,N10843063,E44633451,N83363338,E86458527,N71348038,5,2,HH_1LSFN,,,
DDR190314000743478915,DDR190314000957248306,41149314762,HH,Household,U,RD02,,345 Tender Temperature Alley,,,Geneva Village,BI2 1BJ,-151.485776,-106.644356,E86860586,W91072776,E64853763,N50915687,N41026494,4,5,HH_1LSFN,,,
DDR190314000675013938,DDR190314000370097356,75934366679,HH,Household,U,RD04,,384 Metallic Constraint Passage,,,Tomatoes City,RX2 5XA,35.552617,179.500190,E52107629,W22301958,W95243750,W39917366,E66898483,2,1,HH_1LSFN,,,
DDR190314000857684194,DDR190314000269534192,56657954576,HH,Household,U,RD06,,645 Huntington Target Avenue,,,Hole Hamlet,VF9 1TA,-101.91711,-102.514381,N88344304,W83925838,W66343022,E14922599,E19319460,2,1,HH_1LSFN,,,
DDR190314000361070670,DDR190314000340652744,98484066163,HH,Household,U,RD05,,619 Wales Trails Road,,,Affair Hamlet,YG3 7CN,-82.271851,128.73124,N77750075,E64052744,W72536631,N73392787,E52669736,3,3,HH_1LSFN,,,
DDR190314000279031224,DDR190314000370855550,67641383163,HH,Household,U,RD04,,682 Luke Bloom Way,,,Heating Hamlet,JW8 6TN,-113.548229,-85.974942,N13321020,W40861655,E16939721,W18105940,E40906124,1,5,HH_1LSFN,,,
DDR190314000365678635,DDR190314000272244754,56384263754,HH,Household,U,RD05,,117 Andrea Origin Avenue,,,Meant Town,ST6 5ZZ,-151.27618,158.199062,E76810179,N54059512,W95552535,N38365939,N67093973,5,5,HH_1LSFN,,,
DDR190314000385561982,DDR190314000794847326,91169604788,HH,Household,U,RD02,,139 Rich Confirm Passage,,,Homeless City,KV1 5SQ,-179.921364,-156.791252,E85739723,E29804718,W43168091,E86354765,W79203559,4,2,HH_1LSFN,,,
DDR190314000418612571,DDR190314000877108787,27488391189,HH,Household,U,RD02,,484 Columbia Enhance Street,,,Cuisine Town,DT5 7OV,106.848667,146.481152,N42785143,W86147408,W32945780,E57008755,N46971459,1,5,HH_1LSFN,,,
DDR190314000503534265,DDR190314000388045059,33495733183,HH,Household,U,RD05,,220 Horizontal Coordinate Street,,,Races Hamlet,KR4 2WW,-14.676438,2.498263,E73940566,N33649685,W59682533,E90561893,N39492882,1,2,HH_1LSFN,,,
DDR190314000367762019,DDR190314000825889281,48675829416,HH,Household,U,RD03,,526 Small Charleston Road,,,Cited Town,QN7 9YM,29.148423,168.815774,E36651728,N89077382,E50558685,E32758835,W95935407,2,2,HH_1LSFN,,,
DDR190314000650521258,DDR190314000419370176,88647748291,HH,Household,U,RD04,,835 Insertion Greenhouse Alley,,,Netherlands Hamlet,YO5 1TF,-168.149505,142.992962,N63411999,W45783697,W91164865,W84742136,E40176596,5,1,HH_1LSFN,,,
DDR190314000421983797,DDR190314000584461798,83527341196,HH,Household,U,RD06,,311 Yemen Logical Road,,,Whereas Town,FH8 5MA,77.10552,48.304137,E14954477,E74143463,W84029704,N83667306,N37490285,1,2,HH_1LSFN,,,
DDR190314000757751010,DDR190314000954560028,65500118018,HH,Household,U,RD02,,971 Pacific Accompanied Avenue,,,Marking Village,LJ3 4XI,-116.920165,-22.537240,N42786208,E54665947,W20218147,N63436091,W22278669,4,1,HH_1LSFN,,,
DDR190314000553856834,DDR190314000816156678,49878287180,HH,Household,U,RD04,,938 Withdrawal Compatible Way,,,Patient Village,UP1 1SX,149.776535,53.646769,N62619402,W13909841,N18138983,N30167533,N16454302,3,5,HH_1LSFN,,,
DDR190314000390397009,DDR190314000581323043,27108968353,HH,Household,U,RD04,,666 Alphabetical Oxygen Way,,,Antonio Hamlet,PO7 7GD,-115.390115,-143.142586,W68823256,E50230146,W69543459,N46568904,E67606457,5,2,HH_1LSFN,,,
DDR190314000712816006,DDR190314000764634794,89317804576,HH,Household,U,RD05,,247 Nations Shall Way,,,India City,VQ8 3MX,118.275590,-131.325461,N19689879,N43518843,E13972627,N80092582,E77252590,5,2,HH_1LSFN,,,
DDR190314000161245058,DDR190314000357081180,11230684368,HH,Household,U,RD03,,2 Normal Physical Alley,,,Baby Hamlet,VM4 1RV,-174.237736,-61.288598,N93248779,W40392012,E60506126,E19614792,E47983122,5,3,HH_1LSFN,,,
DDR190314000396221806,DDR190314000378227754,48930432412,HH,Household,U,RD06,,50 Float Shock Way,,,Vancouver City,XY1 5ZF,-158.367781,53.300469,E91866858,N33049235,W43780625,W34695692,W30703753,5,3,HH_1LSFN,,,
DDR190314000344496738,DDR190314000884513795,24765701988,HH,Household,U,RD06,,789 Virtue Compounds Passage,,,Pursuit City,UO4 9XL,-57.755818,-152.840683,N99847612,E25073723,W37810523,N82359600,N74934872,2,4,HH_1LSFN,,,
DDR190314000245722809,DDR190314000480437525,36906257852,HH,Household,U,RD06,,904 Thoroughly Different Way,,,Consecutive Hamlet,HA3 1GP,-14.613629,-87.771737,N17716268,W59353178,W12931739,E52166475,N61074335,4,4,HH_1LSFN,,,
DDR190314000645164216,DDR190314000697551646,89056942827,HH,Household,U,RD06,,873 Mood Nude Avenue,,,Contamination Town,DW9 4OM,84.230770,174.613215,N88589073,W54099454,E18382657,N80748490,E41716796,2,3,HH_1LSFN,,,
DDR190314000199614816,DDR190314000223757517,65654604523,HH,Household,U,RD05,,941 Lone Wanting Alley,,,Powerseller Hamlet,AQ4 8WK,121.400992,108.462290,E27200111,N80832803,N42460428,N28240267,W63903849,2,4,HH_1LSFN,,,
DDR190314000528826286,DDR190314000635742250,82648551544,HH,Household,U,RD02,,465 Gras Recommends Passage,,,Brakes Village,JU6 2FD,-106.5106,-29.860287,N52449033,W12736772,N60186238,N93954062,E58048936,1,3,HH_1LSFN,,,
DDR190314000944644542,DDR190314000362786074,42502992892,HH,Household,U,RD06,,500 Exclusively Salvador Passage,,,Wang Hamlet,ZJ7 2RC,-13.978176,-134.408385,N63769400,N49809033,N91829385,E50311499,N48321380,5,2,HH_1LSFN,,,
DDR190314000518460708,DDR190314000270622225,85274140401,HH,Household,U,RD04,,312 Machinery Applied Alley,,,Combinations Village,ZZ7 7SW,-17.303735,-45.569157,N84344387,N34732214,E20863930,N60796650,N17304747,3,2,HH_1LSFN,,,
DDR190314000935921548,DDR190314000901300762,24593182826,HH,Household,U,RD06,,710 Detection Runner Street,,,Ward Hamlet,MV6 1IT,-52.442769,-32.145136,W61526020,N58710620,E60958115,W41073950,W54878637,1,5,HH_1LSFN,,,
DDR190314000845447609,DDR190314000112687745,14220509927,HH,Household,U,RD06,,159 Satin Necessarily Road,,,Poor Village,QT1 4ZO,172.101292,-54.768401,N59407148,E40981010,N19160893,N76526048,N93463049,1,2,HH_1LSFN,,,
DDR190314000445856923,DDR190314000663382479,31765127256,HH,Household,U,RD04,,786 Cases Location Alley,,,Meetings Town,RD8 5BO,-95.823984,-89.172312,N91731847,N40118174,W34158588,W43956697,W39820807,3,5,HH_1LSFN,,,
DDR190314000195085623,DDR190314000481068060,67312243438,HH,Household,U,RD03,,62 Wayne Departments Passage,,,Restructuring City,ZE5 5UU,35.419348,-52.966299,W58823011,N80140551,N97012650,W92573991,E73554022,3,3,HH_1LSFN,,,
DDR190314000525241472,DDR190314000507623942,26010843487,HH,Household,U,RD02,,183 Reply Shape Alley,,,Scheduled City,YZ2 5DB,-180.484034,167.321640,W25341700,N84457434,W10869085,N55936538,W44806789,3,4,HH_1LSFN,,,
DDR190314000144221854,DDR190314000330090539,39154282889,HH,Household,U,RD05,,778 Egyptian Sticks Lane,,,Tires Village,II9 3IL,57.376409,-50.860508,W23755650,N48859319,W92505045,W29837874,N91965772,5,4,HH_1LSFN,,,
DDR190314000538244898,DDR190314000879340120,55758147956,HH,Household,U,RD04,,814 Mailed Pontiac Road,,,Yoga Village,IU3 1ZV,-111.909299,108.686589,E67811063,E14037339,W98502810,E48464108,E87217165,1,5,HH_1LSFN,,,
DDR190314000186382354,DDR190314000962983896,16757839811,HH,Household,U,RD05,,153 Worried Deferred Alley,,,Billy Town,MN2 7ZC,46.185657,-178.934990,N11485178,E97585307,W94550998,W72698347,E54170371,4,1,HH_1LSFN,,,
DDR190314000297593788,DDR190314000743119656,55341068990,HH,Household,U,RD04,,941 Counsel Cartridge Passage,,,Directories City,VJ9 9VI,98.344950,-79.697271,N93622946,E15718362,W86179748,N37077179,E61597557,1,3,HH_1LSFN,,,
DDR190314000143702137,DDR190314000261059797,33614128591,HH,Household,U,RD02,,982 Clark Evaluated Way,,,Trunk Town,NP4 8ZR,-33.853447,10.809905,E22950726,E28101308,E52325116,N99020582,N56018768,1,4,HH_1LSFN,,,
DDR190314000639233461,DDR190314000645886537,78157596882,HH,Household,U,RD03,,731 Recipes Burlington Lane,,,Labs Hamlet,WV9 9HO,157.214641,-74.515903,N77040493,W91822140,E96162243,E10959583,W13728441,1,3,HH_1LSFN,,,
DDR190314000597592139,DDR190314000441543400,12243527757,HH,Household,U,RD06,,864 Setup Consortium Alley,,,Gregory Town,QE6 9OM,-116.262327,26.8828,E39820990,E92493179,N20980585,N64585874,E20926914,4,2,HH_1LSFN,,,
DDR190314000806365733,DDR190314000494563281,29580510419,HH,Household,U,RD04,,964 Rendered Judgment Lane,,,Diary Town,VL2 8RN,-120.686414,-138.958949,W21892050,E38305704,W41050431,W69732284,W97706890,3,4,HH_1LSFN,,,
DDR190314000739107749,DDR190314000355803617,54164221256,HH,Household,U,RD03,,933 Franchise Coast Road,,,Mens City,PV8 8YO,132.774736,79.885491,N97296066,W63468286,W73235976,E80292056,W93814274,3,4,HH_1LSFN,,,
DDR190314000811739340,DDR190314000953799749,37771512809,HH,Household,U,RD06,,784 Networking Loop Alley,,,Craps Village,BB8 6LT,46.14411,-95.507446,N70629983,E90720206,E59422468,W87783546,W49393081,4,2,HH_1LSFN,,,
DDR190314000920492494,DDR190314000841333407,24283473391,HH,Household,U,RD04,,814 Jeans Context Passage,,,Earned Village,ZD6 5BC,-65.589819,56.189906,E94260162,W55080088,N76542921,E40610049,N56107893,1,2,HH_1LSFN,,,
DDR190314000172779158,DDR190314000352039734,72084696846,HH,Household,U,RD05,,922 Plans Designing Street,,,Woods Hamlet,WM7 6EW,-11.559887,-60.113628,N16675580,N76858657,W21331595,N21124714,N74735085,2,1,HH_1LSFN,,,
DDR190314000781030727,DDR190314000939325914,54470984773,HH,Household,U,RD05,,545 Scsi Dispatch Avenue,,,Tree Village,FJ5 8NZ,-1.970262,59.542664,W11506096,W66923509,E49940804,E43419200,W95459466,2,3,HH_1LSFN,,,
DDR190314000202108168,DDR190314000764040384,85557172229,HH,Household,U,RD04,,763 Morgan Hospitals Alley,,,Wayne Village,NL2 9XI,146.175270,93.447415,W71818026,W80412522,W19948907,E72084508,E99626461,3,5,HH_1LSFN,,,
DDR190314000624775174,DDR190314000445398811,45889804807,HH,Household,U,RD04,,177 Unexpected Shortly Street,,,Cottage Town,KP9 6AU,-140.288743,41.752212,W55478919,E96895844,N54817746,W68902699,E97027210,3,3,HH_1LSFN,,,
DDR190314000488353131,DDR190314000928345630,52232172507,HH,Household,U,RD05,,603 Rico Miami Street,,,Relation Village,YO7 9WF,46.22058,158.713367,N13604427,N22218719,N27358170,W17873396,E83644388,3,2,HH_1LSFN,,,
DDR190314000586179997,DDR190314000996719108,71298333895,HH,Household,U,RD02,,457 Refresh Potential Lane,,,Crawford City,QG7 4FD,-34.256690,96.614906,N32396981,N65127449,W58442125,N24276112,W47344422,3,1,HH_1LSFN,,,
DDR190314000452907758,DDR190314000688862901,18160050412,HH,Household,U,RD02,,148 Begins Respondent Way,,,Lawn Village,QX4 8SL,163.368133,92.418606,N41411139,E10430386,N28136001,N69933412,W44453074,2,3,HH_1LSFN,,,
DDR190314000204899711,DDR190314000966933663,32781519180,HH,Household,U,RD05,,955 Response Vitamins Passage,,,Luggage Town,IV2 3FL,48.495911,144.794668,N97226794,N40273485,N40933826,E24992109,E29250209,2,3,HH_1LSFN,,,
DDR190314000988046358,DDR190314000880126593,37093316115,HH,Household,U,RD04,,317 Share Mine Avenue,,,Transport Village,QB5 4MR,-172.329476,69.334720,N22297777,N70793127,W24859446,N68530588,E14216927,2,4,HH_1LSFN,,,
DDR190314000192107333,DDR190314000700929132,17572262846,HH,Household,U,RD04,,149 Inspiration Davidson Avenue,,,Statewide Hamlet,YW7 2RH,-29.571898,105.335756,N68212125,W11133574,N21538274,W81411355,N66973151,3,2,HH_1LSFN,,,
DDR190314000670147401,DDR190314000130838923,22019241703,HH,Household,U,RD04,,484 Legs Prozac Road,,,Productive City,BT5 3DE,-177.178696,-92.852393,E27654410,E22632279,W61911235,E48561780,E84359325,3,5,HH_1LSFN,,,
DDR190314000349316283,DDR190314000619409998,46181334611,HH,Household,U,RD04,,382 Wilderness Petition Way,,,Hygiene Town,NT4 9RY,-119.72550,-96.172835,W73040831,W58439202,W16733702,W38353143,W94763303,4,1,HH_1LSFN,,,
DDR190314000758164695,DDR190314000964344438,46771429918,HH,Household,U,RD03,,98 Daniel Freeze Alley,,,Friends Village,XP4 1XJ,-28.856748,22.729106,N12018293,E13950960,N27702684,N83162440,N34087277,3,4,HH_1LSFN,,,
DDR190314000341306667,DDR190314000684173203,86965838123,HH,Household,U,RD04,,719 Accepted Venice Way,,,Deals Town,FO2 6LJ,-12.5824,-124.439932,E78215653,W51318718,E74459710,W96739277,N97085317,5,2,HH_1LSFN,,,
DDR190314000620274346,DDR190314000814107446,58200686716,HH,Household,U,RD05,,120 Chassis Clear Lane,,,Meant City,BR5 3QD,39.759641,-13.881708,E36807927,N96982416,W91168735,N14452002,W42737297,5,3,HH_1LSFN,,,
DDR190314000957810466,DDR190314000462462424,79314794089,HH,Household,U,RD03,,868 Nearly Babes Street,,,Chassis City,YK1 4UI,168.569891,31.518728,E97831351,E10280060,N35137426,E55406147,W29694395,1,2,HH_1LSFN,,,
DDR190314000391303671,DDR190314000463011508,39923466407,HH,Household,U,RD03,,923 Graphs Theta Road,,,Ambient Town,ZV7 9AI,108.13755,155.352485,N47446765,N58331295,W86731839,N92176232,W57482273,1,2,HH_1LSFN,,,
DDR190314000869495694,DDR190314000586996106,38773159523,HH,Household,U,RD02,,56 Exploring Wallpaper Road,,,Optical Town,IL6 4CO,63.721740,105.516442,W65497144,W21537312,W53435964,W96288689,N85494656,3,5,HH_1LSFN,,,
DDR190314000577456124,DDR190314000728897797,48665834384,HH,Household,U,RD02,,510 Believe Pick Avenue,,,Failure Village,FY2 8UK,-34.893328,30.622115,N23922159,E26963178,W95244668,W30516614,W45466580,3,2,HH_1LSFN,,,
DDR190314000192775682,DDR190314000140515893,94497347482,HH,Household,U,RD02,,209 Hearts Amateur Alley,,,Corporate Hamlet,QA5 3FQ,-135.609767,4.635966,E80941906,N77480354,E81830979,N98775669,E18815122,2,3,HH_1LSFN,,,
DDR190314000926483700,DDR190314000696073127,69867348620,HH,Household,U,RD04,,297 Template Geography Street,,,Varying Town,EH8 5AP,-61.35982,82.174627,E11341180,E85405708,N32378043,N57093310,N27096727,3,4,HH_1LSFN,,,
DDR190314000607865562,DDR190314000839970011,45887564315,HH,Household,U,RD03,,298 Pencil Diffs Street,,,Comparison Hamlet,UG5 1TF,149.633048,55.341122,W43799990,W12921305,E35474965,E45946506,W35329578,1,5,HH_1LSFN,,,
DDR190314000444561218,DDR190314000588557808,15943236144,HH,Household,U,RD06,,3 Promising Catch Way,,,Genes Village,KK7 1GB,145.301619,-82.515279,W85680824,W53076239,N96476702,E78155799,E11419800,3,3,HH_1LSFN,,,
DDR190314000694149762,DDR190314000291862637,42381247896,HH,Household,U,RD06,,64 Deutschland Difficult Lane,,,Elegant City,QW6 1HK,-112.338945,-80.136428,W50194120,E60232643,W22205190,W90273764,E37488686,4,5,HH_1LSFN,,,
DDR190314000648122048,DDR190314000164509405,46610432397,HH,Household,U,RD05,,633 Costumes Lawyers Road,,,Pain Town,XX5 5UM,-16.247152,-116.795610,N77962432,E89568190,N94618174,W25301241,W31246208,2,4,HH_1LSFN,,,
DDR190314000665762939,DDR190314000652442717,97524550506,HH,Household,U,RD04,,97 Mine Atomic Passage,,,Extras City,SW1 5GH,-51.823315,114.385911,W47348974,N32668760,E65863824,N47748260,N17039173,4,5,HH_1LSFN,,,
DDR190314000999459065,DDR190314000874800651,90655909806,HH,Household,U,RD03,,836 Script Engage Passage,,,Says Town,NV6 4VW,-47.887221,-118.1232,N27432572,N39994011,N48225753,W45195100,E40591925,1,3,HH_1LSFN,,,
DDR190314000251342016,DDR190314000857022755,14455061105,HH,Household,U,RD02,,500 Versions Lasting Avenue,,,Kazakhstan Hamlet,OJ1 9OG,25.711287,137.46450,N11034949,N70942141,N61004150,W19268719,W87205813,4,3,HH_1LSFN,,,
DDR190314000668587889,DDR190314000271667318,51740857097,HH,Household,U,RD05,,609 Corpus Frequently Passage,,,Destiny City,GY7 5XD,174.654111,-47.338815,W70499264,E45915464,E21793644,W59811378,N84810319,5,2,HH_1LSFN,,,
DDR190314000122405950,DDR190314000268630927,26273911573,HH,Household,U,RD03,,570 Contracting Trades Alley,,,Variables Town,MK8 9KC,111.860371,-25.298351,W58801254,E29968734,W55463541,W54421910,W45329119,1,4,HH_1LSFN,,,
DDR190314000676598628,DDR190314000613618720,51537333390,HH,Household,U,RD02,,461 Proteins Teen Alley,,,Vice Hamlet,EX5 3JG,-149.39589,110.926416,N45781804,E46806454,E80860599,E59837806,E61979765,3,2,HH_1LSFN,,,
DDR190314000296763557,DDR190314000992431423,37267568133,HH,Household,U,RD03,,231 Crops Scanning Street,,,Bull City,GT2 3WF,-160.729318,-47.966890,N34893554,N47309622,E20623412,E65264724,E28837810,1,3,HH_1LSFN,,,
DDR190314000161245712,DDR190314000586889305,92839307372,HH,Household,U,RD02,,52 Hired Pencil Way,,,Spirits Hamlet,SU4 8OQ,-18.489074,125.476937,N66968911,E91101514,E19553291,N85144535,E20260976,4,3,HH_1LSFN,,,
DDR190314000412510303,DDR190314000756783239,13957326699,HH,Household,U,RD03,,670 Straight Cards Street,,,Wisconsin City,DY4 2LB,-155.871204,-3.74859,W62203344,N28350177,E46442662,E88419551,W90113674,3,4,HH_1LSFN,,,
DDR190314000605261319,DDR190314000426841348,24832464779,HH,Household,U,RD02,,17 Validity Pope Way,,,Registration Town,MF8 1JO,-68.661085,122.237217,N63104842,N77467826,E82925462,W18643873,N58853581,4,1,HH_1LSFN,,,
DDR190314000861287133,DDR190314000206708114,87726527282,HH,Household,U,RD06,,36 Sunny Introduces Road,,,Nebraska Village,PG3 1LB,32.20259,-55.78995,E64619595,N28972785,W91329307,E81708870,E17923533,1,5,HH_1LSFN,,,
DDR190314000254774629,DDR190314000121458602,70667779300,HH,Household,U,RD03,,370 Costa Incentive Alley,,,Markers Village,KT9 1LW,141.324112,6.715363,W54279209,N24257646,W81446140,N91495505,N35066925,5,4,HH_1LSFN,,,
DDR190314000654522875,DDR190314000551870179,21062013455,HH,Household,U,RD04,,207 Springfield Contains Passage,,,Attempts Village,KL1 2BS,-25.195223,153.768646,W55382185,E74380761,E26881818,N69042756,W27178341,5,5,HH_1LSFN,,,
DDR190314000167743079,DDR190314000812585992,84932208042,HH,Household,U,RD04,,702 Newman Explains Street,,,Shortly Town,JY4 9QJ,26.179029,14.59056,E33165084,W41527730,E56702699,W94700557,E63644139,5,3,HH_1LSFN,,,
DDR190314000673516346,DDR190314000804082722,22512476202,HH,Household,U,RD03,,640 Confidentiality Virtually Way,,,Beneficial Hamlet,MA2 7HX,127.267021,-57.945045,N58441758,N11334917,N19209245,W73154882,E93161699,4,2,HH_1LSFN,,,
DDR190314000422334831,DDR190314000171116243,49295376847,HH,Household,U,RD02,,995 Remain Angry Alley,,,Converter Town,AW6 1MT,-76.686145,55.269912,E49273742,N19058915,N49574172,N86311858,E53566975,3,1,HH_1LSFN,,,
DDR190314000806434681,DDR190314000954510342,26786983324,HH,Household,U,RD04,,921 Dead Destiny Way,,,Eden Town,XY6 7XL,-43.402619,8.127405,E58242098,W18573927,N38716821,W10816917,W16446788,2,5,HH_1LSFN,,,
