UPRN,ESTAB_UPRN,ADDRESS_TYPE,ESTAB_TYPE,ADDRESS_LEVEL,ABP_CODE,ORGANISATION_NAME,ADDRESS_LINE1,ADDRESS_LINE2,ADDRESS_LINE3,TOWN_NAME,POSTCODE,LATITUDE,LONGITUDE,OA,LSOA,MSOA,LAD,REGION,HTC_WILLINGNESS,HTC_DIGITAL,TREATMENT_CODE,FIELDCOORDINATOR_ID,FIELDOFFICER_ID,CE_EXPECTED_CAPACITY,CE_SECURE,PRINT_BATCH
80160446370,85010375295,HH,Household,U,RD03,,88 Sanctuary Twig Lane,,,Graveness Town,DH2 5CR,103.6694,-35.8722,W71476864,W34659950,N63518423,N12821110,N56837996,5,2,HH_1LSFN,,,0,0,64
14341909377,83707122268,HH,Household,U,RD02,,301 Kept Thirteen Street,,,Protegee Town,QU4 3KC,-94.1249,88.2744,N58709024,W32663525,E25499314,E17716992,W57315500,5,1,HH_1LSFN,,,0,0,63
21321182867,35546752101,HH,Household,U,RD06,,653 Judiciary Recycler Street,,,Departure Town,FM4 2XB,62.7335,118.3801,W14491484,E81557537,W27396555,E61203591,N46694080,1,3,HH_1LSFN,,,0,0,80
44577407863,34573248620,HH,Household,U,RD04,,519 Replica Simple Way,,,Oppressed Village,TJ7 2CP,-8.7669,56.6164,E57465159,N33282778,W34440582,E48728992,E98031004,5,2,HH_1LSFN,,,0,0,39
90965502064,35960317953,HH,Household,U,RD06,,149 Everyday Sabotage Lane,,,Draw Village,AU3 3OW,132.8232,39.5666,E42366309,N26131421,W76517789,N61142936,W10283896,4,5,HH_1LSFN,,,0,0,57
85615929744,38170117929,HH,Household,U,RD04,,932 Glowworm Bounce Street,,,Riot Town,FK1 3EX,109.6943,-49.5480,N83096387,W83482916,N68877175,N31465716,W98523358,1,4,HH_1LSFN,,,0,0,33
62193408314,33227913181,HH,Household,U,RD04,,538 Contents Unsent Avenue,,,Defender Village,GY2 3CO,104.3146,-77.7432,N98622127,W25658850,N75822760,W13052695,E67978787,2,5,HH_1LSFN,,,0,0,16
95727768729,72608860487,HH,Household,U,RD03,,315 Sitcom Important Street,,,Sandstorm Town,UQ4 5KG,-75.2665,-98.9470,N94477105,E37726679,E93402330,N27063586,E86444201,1,4,HH_1LSFN,,,0,0,21
42311838435,41832270579,HH,Household,U,RD04,,248 Ramrod Pacify Alley,,,Spider Hamlet,RV5 3CK,149.8115,-154.4184,N66386412,E11354980,E28036096,W31726653,W23589133,1,2,HH_1LSFN,,,0,0,39
44629928312,50202766738,HH,Household,U,RD06,,93 Earthen Shiftless Way,,,Gas Village,KJ1 9AT,-32.4590,-75.2899,E32381224,E77255602,N48358712,E20930846,E39240492,5,5,HH_1LSFN,,,0,0,9
80935832561,76805738868,HH,Household,U,RD03,,869 Unwomanly Unrelated Avenue,,,Simmering Village,GD9 1UZ,-97.5680,-116.3980,W31948393,W79430293,N91253271,W32478634,E20942059,2,5,HH_1LSFN,,,0,0,12
29871772330,63776566257,HH,Household,U,RD05,,899 Crevice Chimp Alley,,,Operation City,RX4 9JY,3.2877,-27.3959,E42197975,E79395040,W60056341,N30878354,N90530890,1,2,HH_1LSFN,,,0,0,25
14630562582,40433459315,HH,Household,U,RD06,,759 Coyness Limpness Street,,,Fiddling City,YS2 2ZN,57.3306,56.3587,E30205577,E19655599,N26370411,E34082633,E56072306,2,2,HH_1LSFN,,,0,0,28
57095096170,63636327973,HH,Household,U,RD06,,703 Onscreen Overreach Way,,,Overrule Town,DQ5 1CF,-144.8155,5.7306,N11588245,E39196688,N55640196,E87131609,W45395832,3,4,HH_1LSFN,,,0,0,89
23995351771,65167202927,HH,Household,U,RD06,,165 Embellish Sneezing Way,,,Bluff Hamlet,MI8 4VD,55.2014,36.4393,W31119333,N68743536,W77886993,N48175759,W72368331,2,2,HH_1LSFN,,,0,0,1
36955696874,14520390480,HH,Household,U,RD03,,9 Sprain Lifting Road,,,Glorify Village,YZ5 2TT,-169.8196,-126.3573,N80667004,N99473724,N46720505,N83100826,N77470909,5,3,HH_1LSFN,,,0,0,83
87310800496,72816534346,HH,Household,U,RD06,,128 Qualm Florist Avenue,,,Mouse Town,UA2 6QE,-116.6660,-84.1750,E75861907,N86436442,E29412109,W86063036,E72228487,2,3,HH_1LSFN,,,0,0,20
70379129911,60201906751,HH,Household,U,RD04,,879 Strewn Hangnail Street,,,Igloo Town,VP7 9VM,-58.6981,-141.7177,N79607483,N77150427,N22972497,N82066880,W56078904,1,3,HH_1LSFN,,,0,0,14
70992668432,33973135449,HH,Household,U,RD02,,638 Steed Curator Way,,,Catatonic Hamlet,UX8 1MO,-162.5631,-161.7880,N11853030,E14076757,W96202131,E23606249,W13670627,1,2,HH_1LSFN,,,0,0,46
23413010103,60989825721,HH,Household,U,RD05,,121 Rabid Provider Lane,,,Denial Town,NO1 1SM,164.2508,-139.9819,W18890230,E11132372,W18284540,W50068631,W13436892,3,4,HH_1LSFN,,,0,0,96
25083690359,14606251297,HH,Household,U,RD04,,873 Stoke Many Way,,,Congrats City,GP6 4OY,49.9024,110.4386,W72019979,N30788541,W91681144,N94939446,W78687820,4,4,HH_1LSFN,,,0,0,73
37318895557,70549696814,HH,Household,U,RD02,,390 Spearmint Hasty Road,,,Marry Town,NY3 8QN,-88.2664,-55.4499,W56752846,N66909512,N70757742,W95589799,W65330325,2,2,HH_1LSFN,,,0,0,92
11089999566,54728459980,HH,Household,U,RD05,,37 Avenue Unnamable Street,,,Smokiness Hamlet,VA4 7QB,-154.8588,-148.5200,W12125679,W23045715,N10879743,W58176040,N75603904,2,1,HH_1LSFN,,,0,0,34
30628528620,95353345349,HH,Household,U,RD02,,790 Scientist Backspace Street,,,Lance Village,JD7 3MX,82.9830,-84.5369,N64782203,N85323490,W28594639,E42136348,W75741279,1,3,HH_1LSFN,,,0,0,88
78524472179,32502057467,HH,Household,U,RD05,,269 French Onset Passage,,,Jackal Village,TY2 3VL,96.3003,-33.1760,W43092989,W80853133,W50847767,W42571527,N90081358,4,5,HH_1LSFN,,,0,0,32
77652088399,40509511566,HH,Household,U,RD03,,798 Refusing Poser Street,,,Snorkel Town,FZ4 4JT,119.9856,-145.8320,N31032693,E48507424,N29919043,W83049673,E68522344,3,1,HH_1LSFN,,,0,0,36
90009762744,83188857910,HH,Household,U,RD05,,544 Flier Tycoon Road,,,Unsubtly Village,ZC7 8UC,-76.2904,-42.4813,W99588598,N15098150,W73477084,E55674481,N75558851,4,2,HH_1LSFN,,,0,0,33
18441571957,23166798759,HH,Household,U,RD04,,951 Resistant Fiction Alley,,,Clammy City,OZ4 7ZD,172.5924,-122.5212,W51603325,W22753785,N37248649,W97121089,W97728140,1,2,HH_1LSFN,,,0,0,88
58459057759,23220182491,HH,Household,U,RD04,,112 Expose Riverbed Alley,,,Remedial City,NW2 1AJ,-146.9234,-110.4293,W11512440,W90178159,N79825154,W86653532,E28214450,1,4,HH_1LSFN,,,0,0,36
40600694171,92637422578,HH,Household,U,RD03,,343 Sheath Commuting Lane,,,Annoying Hamlet,JW3 6ZR,-14.6902,77.6683,N40728995,E39892037,N20920205,E60867108,N89016759,3,2,HH_1LSFN,,,0,0,22
97713520195,13209382437,HH,Household,U,RD03,,368 Barricade Culprit Avenue,,,Throttle Hamlet,NF2 4ME,88.1412,-161.2946,W65408682,W75437688,N17190029,E58256002,W64675036,4,2,HH_1LSFN,,,0,0,98
10964728129,74894061087,HH,Household,U,RD03,,140 Playtime Jarring Lane,,,Sprint Town,EH2 9VF,55.9767,46.2114,E31118988,N53010198,W28773660,E76050334,N48052883,1,2,HH_1LSFN,,,0,0,30
84086135488,34722277688,HH,Household,U,RD06,,167 Lyrically Oven Passage,,,Wavy Village,XY5 9BV,1.7914,-105.9221,W98023631,E63199509,N43329516,W75443800,W55282736,4,2,HH_1LSFN,,,0,0,15
89805969873,32229975945,HH,Household,U,RD02,,262 Aviation Excavator Avenue,,,Cheek Town,SZ6 8TW,103.3896,61.7708,E95529276,W27073943,E26865173,E97306693,W23348897,5,4,HH_1LSFN,,,0,0,21
92752861939,96773633782,HH,Household,U,RD06,,28 Dismiss Dance Passage,,,Festive Hamlet,NF6 1PX,-176.9855,-25.5308,E64775837,N32111855,N98569991,E54746438,N40614599,1,5,HH_1LSFN,,,0,0,2
87809360677,32831264901,HH,Household,U,RD06,,465 Basics Glory Lane,,,Deflator Town,RU2 4LG,-134.3697,-39.4221,N79368041,W81497091,N74288330,W63660266,W72682985,4,4,HH_1LSFN,,,0,0,59
82629564019,63523159277,HH,Household,U,RD03,,230 Playoff Cassette Street,,,Family City,DA4 8UB,-60.4654,-55.5520,W30028601,W14299488,N77119694,W58212061,N61527640,1,5,HH_1LSFN,,,0,0,72
64265140593,20886656214,HH,Household,U,RD03,,592 Naming Upstart Alley,,,Unenvied City,VP9 8ZR,-102.7895,-60.2624,E58358913,E24480189,E51332033,E22821525,W76662784,2,3,HH_1LSFN,,,0,0,16
36707395419,70406843759,HH,Household,U,RD06,,315 Magnetism Waking Street,,,Jaybird City,ZH7 7BH,44.2947,-10.3255,W52175100,W30763139,E55943302,W64376854,N81702106,2,3,HH_1LSFN,,,0,0,46
96025380553,87838125714,HH,Household,U,RD05,,645 Pavestone Constant Way,,,Ducktail Town,EA7 1MS,29.4229,-174.3819,E72335379,E74150797,E72672539,E64186758,W29012799,4,5,HH_1LSFN,,,0,0,25
44443498695,87832875743,HH,Household,U,RD03,,355 Blasphemy Selective Road,,,Cottage City,JE1 3EP,60.3268,-139.5597,E22398923,E68454384,N49113032,E20239507,E25965894,1,1,HH_1LSFN,,,0,0,52
61135229864,35809274477,HH,Household,U,RD02,,876 Equator Sandstone Lane,,,Untrained Town,TR8 3JY,-98.6614,98.1684,N73441572,E45175372,N97550292,W67699668,E16195467,5,5,HH_1LSFN,,,0,0,83
59949945851,80789044428,HH,Household,U,RD03,,208 Untaken Napped Lane,,,Corporate Village,YI2 4VU,-27.8155,120.3569,E26152528,N96886760,E80532289,W50383022,W23190700,1,1,HH_1LSFN,,,0,0,86
75863800186,64633847497,HH,Household,U,RD04,,12 Disburse Charm Alley,,,Overstep Town,GT7 4PG,98.7677,106.8159,W73028136,W12823710,N19439750,N87283726,W81451676,2,4,HH_1LSFN,,,0,0,80
78934436373,94188857917,HH,Household,U,RD06,,399 Backlit Ounce Avenue,,,Saggy Hamlet,IY7 8CA,100.2030,57.1053,N70020213,N15101373,E79231406,W49064346,E41485108,2,2,HH_1LSFN,,,0,0,99
74223284913,24444450761,HH,Household,U,RD04,,812 Countable Royal Passage,,,Pacifier City,JD2 6UV,-109.4270,39.2286,W33812198,W76102901,W18362006,W11242468,N67513467,2,4,HH_1LSFN,,,0,0,28
44716858393,76368149166,HH,Household,U,RD02,,658 Visibly Ethically Alley,,,Reconfirm Village,JD1 7JV,-32.8682,173.2194,N53525067,N21588084,E50317239,N81688163,N33990490,2,3,HH_1LSFN,,,0,0,89
62203361316,96547267110,HH,Household,U,RD04,,504 Eskimo Garage Street,,,Immodest Town,WL5 6FI,-29.2839,59.1712,W90857201,E59111179,E89398969,N12096622,W20459523,1,2,HH_1LSFN,,,0,0,62
81993881884,81857724532,HH,Household,U,RD04,,442 Synopses Repeater Passage,,,Snort Village,JT8 5OU,-103.6939,156.9766,W43536819,N31821542,N81114374,W50572217,W52090518,5,1,HH_1LSFN,,,0,0,64
76922222589,50664086217,HH,Household,U,RD05,,458 Hardhat Raging Avenue,,,Trapdoor Village,CE6 9ZA,104.2410,-63.4524,W60230939,N84719163,N12012140,W30893756,W72909529,3,5,HH_1LSFN,,,0,0,92
37643331215,20188760665,HH,Household,U,RD04,,391 Feminine Theater Passage,,,Overeater Village,WQ2 1PV,89.4554,-82.9122,W66002322,N73354288,N72560944,W21605726,W47355565,5,3,HH_1LSFN,,,0,0,29
15302484411,66299189889,HH,Household,U,RD03,,816 Sulphate Important Street,,,Deuce Town,HD1 7NN,9.4267,-75.6397,N54161152,N60877556,N34536650,W11234964,W98897699,5,1,HH_1LSFN,,,0,0,10
14943852916,58085485832,HH,Household,U,RD02,,422 Appendix Runway Way,,,Raven Village,QL7 6OY,177.8029,153.6160,E32657171,N68848227,N97495344,E62335430,E25730430,5,1,HH_1LSFN,,,0,0,29
25569196598,37285081002,HH,Household,U,RD05,,601 Spearmint Pope Road,,,Revival Town,RT6 5OY,73.1093,47.8376,N55492261,N57425123,E63729825,E14963816,N18859153,2,3,HH_1LSFN,,,0,0,91
75639900030,20607482466,HH,Household,U,RD06,,39 Dandelion Prevalent Road,,,Agenda City,PX2 2CT,-102.8175,65.1243,E67949575,W16305183,E10008878,E40782252,N32110635,2,3,HH_1LSFN,,,0,0,71
85151100656,39198987089,HH,Household,U,RD05,,350 Slimness Tried Lane,,,Properly Town,GF8 2CJ,79.7374,-174.1139,W67886011,E44368196,N97621045,N43181636,W59288758,4,3,HH_1LSFN,,,0,0,29
60828807870,28757277265,HH,Household,U,RD04,,345 Egotism Twice Alley,,,Safari Village,WT7 5PY,123.2652,14.5984,E18767082,E63400818,W66099411,W51782354,E44558454,5,3,HH_1LSFN,,,0,0,44
87458505353,60761837884,HH,Household,U,RD06,,866 Phoniness Climatic Road,,,Bloated City,MK5 7WS,21.8394,164.3982,E52945181,N49933954,N80466048,E34462722,N64006808,2,2,HH_1LSFN,,,0,0,34
90271073914,13793993043,HH,Household,U,RD04,,627 Lubricant Trapped Road,,,Cartload Hamlet,IP7 5DY,-118.1610,-133.4385,W60859350,W51608217,E56807736,W82227375,E33015532,3,4,HH_1LSFN,,,0,0,26
12655420447,42299945475,HH,Household,U,RD04,,553 Name Jet Road,,,Unfunded City,TA2 2FB,-107.8079,-84.3200,N13096799,W23150015,E40449846,N46108179,N54650038,4,2,HH_1LSFN,,,0,0,77
15473436505,99872582377,HH,Household,U,RD03,,12 Manicotti Shopping Way,,,Headphone City,UB9 8VC,-113.1148,-119.9995,E59315440,W57869117,E75260224,N99181537,W55159928,4,4,HH_1LSFN,,,0,0,99
33188374347,58564461965,HH,Household,U,RD03,,145 Headstand Election Passage,,,Magnetism Town,WE3 4NV,-17.5315,-24.4597,W64577952,W98191081,E83286307,E55521456,W30930710,3,3,HH_1LSFN,,,0,0,53
40958050827,29861571915,HH,Household,U,RD06,,6 Register Richness Road,,,Grating City,KO6 7YP,57.5314,-175.9929,E40491886,E76803530,N51388028,N25043206,E12932056,4,4,HH_1LSFN,,,0,0,16
94139117977,29291988282,HH,Household,U,RD02,,401 Truck Tanning Passage,,,Unfitting Town,UN5 2SQ,73.1190,-111.4656,E75728301,N53727717,E23195640,N87349171,E70007590,2,4,HH_1LSFN,,,0,0,58
67991233693,43479341940,HH,Household,U,RD05,,252 Unarmored Syndrome Lane,,,Casually Village,XS7 7FL,180.3087,75.7103,E30900195,W59495506,W78037068,N51038529,E29350895,2,1,HH_1LSFN,,,0,0,98
52594442624,42721314738,HH,Household,U,RD04,,585 Bagging Mandarin Passage,,,Riverbank City,OG1 3ML,-130.3195,140.4604,N73258038,E25943307,N31761736,W83254213,N21387675,3,2,HH_1LSFN,,,0,0,35
36724931965,94273180679,HH,Household,U,RD03,,832 Scone Stingray Passage,,,Sliced Village,WY3 6PH,-99.3276,145.2768,N37326795,E88512744,N91713139,N74680744,E44658515,5,2,HH_1LSFN,,,0,0,67
52141365340,92874885612,HH,Household,U,RD02,,378 Overlap Liquefy Alley,,,Primate Village,LA4 7HJ,84.2464,-33.6216,W33636821,N19387587,N64023308,W70339031,W44137884,3,1,HH_1LSFN,,,0,0,46
79897540264,90330892721,HH,Household,U,RD05,,149 Duh Affecting Avenue,,,Glimmer Hamlet,ID1 1IZ,40.7516,171.8733,N41049804,N38797271,W37272241,E79084103,N97670590,4,3,HH_1LSFN,,,0,0,26
67715146786,97220512646,HH,Household,U,RD03,,652 Commence Scared Road,,,Stilt City,RU9 3ZG,-37.2777,46.7827,E59279686,W33235889,N59625491,N40111424,W34259011,5,2,HH_1LSFN,,,0,0,38
57543680114,65632104011,HH,Household,U,RD06,,503 Otter Abruptly Passage,,,Situation Town,GV7 7WN,92.9369,-115.5572,W13420887,W66878540,W46761597,E80683768,W63199694,2,3,HH_1LSFN,,,0,0,29
21514704820,75992373569,HH,Household,U,RD06,,29 Resolved Deprive Alley,,,Famine City,FP2 2NR,11.7239,66.4564,N60834964,N18889207,E68442627,E25025762,W82636251,3,2,HH_1LSFN,,,0,0,1
23415614296,82656597659,HH,Household,U,RD06,,649 Hypocrisy Slogan Lane,,,Gaining Village,FE4 8AI,-69.4203,-175.1989,E22739668,E75877858,N17273414,E73437587,W64829311,4,4,HH_1LSFN,,,0,0,36
30985549311,18241381823,HH,Household,U,RD04,,726 Cytoplasm Unadvised Street,,,Yield Village,JF4 1MP,6.7975,125.9328,E47572266,E32190095,W34978223,W20038412,E75554955,3,3,HH_1LSFN,,,0,0,39
95060817862,61007219476,HH,Household,U,RD02,,705 Ground Lance Way,,,Geek Village,AR2 4DX,-59.5239,35.8181,W18772482,E63423670,N27264234,N34704451,E49830245,1,2,HH_1LSFN,,,0,0,51
89965133199,36625767563,HH,Household,U,RD03,,389 Krypton Stooge Avenue,,,Eldercare City,PD3 3CA,134.1709,143.8066,N40982679,N90218333,N85796164,N14608937,W20384691,2,2,HH_1LSFN,,,0,0,95
53062641969,60002559083,HH,Household,U,RD02,,133 Bobble Prelude Way,,,Phoney Village,ZB5 6EJ,75.5894,135.4692,E26304875,E88041564,N27249361,N80357889,E95925696,4,3,HH_1LSFN,,,0,0,32
78523615908,24641093391,HH,Household,U,RD02,,762 Catlike Cardiac Passage,,,Limping Town,ER9 5CG,32.9936,-96.1879,W52777113,N48480065,W91402611,W34670488,W38829334,4,3,HH_1LSFN,,,0,0,7
79773995525,19540022291,HH,Household,U,RD06,,934 Exception Rocket Avenue,,,Factor Village,CO7 4YM,141.8821,-134.2617,N39799011,W89911595,E38120912,N34223358,W50093049,5,1,HH_1LSFN,,,0,0,43
30554702813,59925662039,HH,Household,U,RD06,,138 Armful Womanless Road,,,Velocity Hamlet,ZM9 1AP,113.3627,107.3684,N78603465,N44547634,E72331080,N58496434,W15457336,1,2,HH_1LSFN,,,0,0,33
46248211567,23407309083,HH,Household,U,RD04,,711 Detective Unease Street,,,Amply City,YK8 8YB,16.8539,-37.7490,N70974744,N96218294,N69423287,W24498713,W42706162,5,4,HH_1LSFN,,,0,0,26
10009559743,94983037017,HH,Household,U,RD06,,347 Defender Handset Street,,,Shack Village,DH6 8QO,-165.7534,-8.3054,W45617220,E21407219,N77333943,E98356509,W19640242,3,1,HH_1LSFN,,,0,0,43
70338565511,64576667762,HH,Household,U,RD02,,131 Define Goldsmith Street,,,Darling Village,XE8 4OJ,113.4463,-93.8628,W42933357,W57730136,E65558826,N82070725,N14772040,4,1,HH_1LSFN,,,0,0,19
22974289147,68628009920,HH,Household,U,RD02,,455 Unsold Manifesto Street,,,Silenced Town,AK6 3MV,166.9280,127.5863,E18130728,W65150312,E57239820,E90027168,E17102628,2,4,HH_1LSFN,,,0,0,42
25850339671,66406237030,HH,Household,U,RD06,,188 Afterlife Plethora Way,,,Vehicular City,IX7 8OK,150.7375,-113.7303,E11821661,E22496524,N26976252,E78392239,W12044684,2,5,HH_1LSFN,,,0,0,60
55025788143,75804428085,HH,Household,U,RD03,,325 Decorated Flagman Avenue,,,Hurler Village,WX5 3ZC,-129.9809,-23.8606,W97673242,W66649502,E17870536,W10619630,N56015801,5,2,HH_1LSFN,,,0,0,59
85726946790,69326690553,HH,Household,U,RD05,,519 Tiara Entrench Street,,,Lens City,RS2 5ET,114.5594,56.8928,N70877670,E87361908,N52107715,W21271568,N58403282,4,3,HH_1LSFN,,,0,0,49
75377221791,11237116694,HH,Household,U,RD05,,516 Thrower Passivism Lane,,,Sizable Village,HX9 1KN,107.7186,149.5889,W68175213,E93620912,N88280879,N53485711,W98215454,1,4,HH_1LSFN,,,0,0,98
29148597621,75369410725,HH,Household,U,RD04,,671 Gloomy Lapped Way,,,Jelly Town,TT5 1EZ,-1.8220,-127.3041,N96733944,E84741775,W76034660,E97995521,N51369209,3,2,HH_1LSFN,,,0,0,30
72661905050,76538840473,HH,Household,U,RD05,,379 King Untagged Alley,,,Unshaved Village,BA4 4PP,144.6706,-104.9141,E40394577,N16128903,W46525217,N70700405,N30562868,1,3,HH_1LSFN,,,0,0,29
58001156430,90939077825,HH,Household,U,RD04,,726 Spore Outscore Road,,,Taekwondo Hamlet,XA9 2JI,-81.8709,-143.8399,E32959646,E28983604,N42241087,W66416106,W26632601,4,2,HH_1LSFN,,,0,0,8
35818586609,50494623087,HH,Household,U,RD04,,601 Repaying Preshow Street,,,Tyke Village,JW5 3GV,-132.5095,-170.2882,W12209534,E85189447,W19655535,W71899856,W45347055,4,1,HH_1LSFN,,,0,0,70
39342431711,96854079842,HH,Household,U,RD03,,381 Saloon Gating Street,,,Trifle Hamlet,PP7 9HX,-53.6991,145.7383,E16801073,N69326645,N35115768,E80536144,W96669198,2,4,HH_1LSFN,,,0,0,52
67375997940,45236733656,HH,Household,U,RD05,,534 Refinish Sloping Lane,,,Strategy Village,LR2 8WG,56.8611,87.1150,W21223164,E10319185,E58853222,W82886731,E94654589,1,3,HH_1LSFN,,,0,0,83
57373268781,99229158068,HH,Household,U,RD04,,373 Comment Expand Lane,,,Unroasted Village,WV8 9FS,12.1732,-54.4566,E60723558,E26344996,E83469327,E90258067,E28006664,2,3,HH_1LSFN,,,0,0,72
29883958379,58102089802,HH,Household,U,RD05,,33 Giveaway Staring Lane,,,Sleek Village,LA5 2WJ,-37.2187,-23.8237,E63745157,E10414165,N27538141,E27364139,E93567972,4,1,HH_1LSFN,,,0,0,48
71593490035,37356850719,HH,Household,U,RD06,,283 Washbowl Lecturer Street,,,Porridge City,QC3 1BR,-174.9623,157.4949,N15747230,W19117717,N37576799,W75585309,W92954122,2,5,HH_1LSFN,,,0,0,20
57118817612,91580492213,HH,Household,U,RD04,,724 Spinout Marital Street,,,Clay Town,LJ7 3MC,-168.9253,-172.3417,E52397143,W91478572,N61756954,E54063265,W45536875,2,2,HH_1LSFN,,,0,0,24
62153742258,31333385492,HH,Household,U,RD06,,148 Purifier Valium Avenue,,,Resisting Town,XH2 9RL,-18.1610,99.5578,W29749029,N79214425,E69909232,N75970524,E32342610,2,2,HH_1LSFN,,,0,0,56
35449980432,66596497233,HH,Household,U,RD03,,375 Collide Lived Lane,,,Unsold Town,VU9 5YI,-92.5703,68.4277,N35815312,W57928169,E86316930,E15965432,N70031788,2,2,HH_1LSFN,,,0,0,83
37362244364,22845208716,HH,Household,U,RD06,,214 Laurel Vanilla Road,,,Remix Town,IR5 8SF,77.9431,-37.4983,W51450082,N57214420,N20925732,N95612550,E52095722,1,4,HH_1LSFN,,,0,0,23
90424350632,69534701386,HH,Household,U,RD02,,704 Decal Express Way,,,Flyover Hamlet,LD4 1DO,-118.2239,142.5251,E80044554,E76292651,N54262072,W45416853,N75222944,1,1,HH_1LSFN,,,0,0,22
18170642876,84750587016,HH,Household,U,RD02,,542 Reluctant Unrated Avenue,,,Faucet City,AY8 2SZ,39.9392,56.6523,W65543673,W65070825,N14226507,E30145106,N23279892,3,4,HH_1LSFN,,,0,0,31
97654782616,27894189331,HH,Household,U,RD03,,415 Lark Sandbox Way,,,Whinny Hamlet,TL7 1GM,123.3546,-33.5796,E86757503,E50219258,E99198012,N31070664,N78978032,2,1,HH_1LSFN,,,0,0,78
19764957471,52272205943,HH,Household,U,RD03,,848 Cackle Convent Avenue,,,Diligent Town,AY2 8FY,-87.4381,-44.8263,W12204180,E17384386,E48470766,W32693198,W58580770,4,5,HH_1LSFN,,,0,0,20
62099483073,67439982884,HH,Household,U,RD02,,72 Handbag Icon Avenue,,,Defog Hamlet,WY8 9GN,-94.3340,-115.5946,E70138270,E24841760,E31480657,E32134742,W82898351,2,2,HH_1LSFN,,,0,0,78
91277307389,96527490523,HH,Household,U,RD04,,948 Finance Ranked Alley,,,Skylight Town,SR3 5GB,155.3204,-50.8714,W70875137,N37802743,N73889960,W89361559,N72464819,2,4,HH_1LSFN,,,0,0,41
99464509988,75483922441,HH,Household,U,RD05,,567 Headfirst Cozily Way,,,Sitcom Village,UG8 2EU,-173.9488,161.6695,E47754062,W38148678,W76856056,N39321504,E64627159,5,3,HH_1LSFN,,,0,0,55
98496071641,89886064608,HH,Household,U,RD02,,89 Baritone Shopper Alley,,,Relapsing Hamlet,FU4 4WD,-36.5600,-27.9757,N37895049,N91240637,N32659213,N50899588,N77331029,5,1,HH_1LSFN,,,0,0,93
49828471471,66774722916,HH,Household,U,RD06,,913 Usher Aloof Way,,,Tackle Village,SE6 7DD,-58.5583,97.5793,N85261963,N84215135,W44690633,E99989991,N26266051,1,4,HH_1LSFN,,,0,0,92
99985767415,99732917788,HH,Household,U,RD05,,930 Sesame Uncertain Street,,,Surfer Town,PB8 8CG,85.3039,64.7693,E90489078,W23142550,N74067068,W36105650,W19220432,1,5,HH_1LSFN,,,0,0,11
